Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
1.27079781727607,3.45423809264614,-0.908380849313704,0.00962978771644572,0.00610353828699155,0.0165212961264682,1,0,1,1,15
1.18580525213693,3.5861648729374,-1.02891685124662,0.00977737726633613,0.00669336741109775,0.0185380155244332,2,4.1,1,1,15
1.37695830558,3.60214257050748,-1.21295280982626,0.0105258156917963,0.00725213341701711,0.0201211963982576,3,8.2,1,1,15
1.27763609599527,3.66406239134163,-1.16304105557279,0.00771389620601075,0.00582442433623915,0.0165258874451148,4,12.3,1,1,15
1.34153493903799,3.70636671648021,-1.10367886605879,0.00833073919940643,0.00623730194854994,0.0176645172685331,5,16.4,1,1,15
1.36894249538629,3.80261391350894,-0.999860782995413,0.00927336726665461,0.00776882992280756,0.0224890350493716,6,20.5,1,1,15
1.46199165979544,3.65947534376131,-0.979020210399255,0.00863092164460662,0.00719836293781227,0.0208217327869347,7,24.6,1,1,15
1.73284480972605,3.40856438416268,-0.658541494460089,0.00683782646788173,0.00608772336948049,0.0177933905347947,8,28.7,1,1,15
1.77861247061574,3.35278072949084,-0.51886453603459,0.00909438751519099,0.00827178542682452,0.0242516815592677,9,32.8,1,1,15
1.7842314087465,3.23394135715615,-0.646547540091763,0.00922887229396354,0.00822448837291926,0.0240541008328625,10,36.9,1,1,15
1.89276353940839,3.19304049559877,-0.670371829535814,0.00772536304318343,0.00679589971994664,0.0198366159553779,11,41,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,12,45.1,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,13,49.2,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,14,53.3,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,15,57.4,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,16,61.5,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,17,65.6,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,18,69.7,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,19,73.8,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,20,77.9,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,21,82,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,22,86.1,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,23,90.2,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,24,94.3,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,25,98.4,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,26,102.5,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,27,106.6,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,28,110.7,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,29,114.8,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,30,118.9,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,31,123,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,32,127.1,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,33,131.2,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,34,135.3,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,35,139.4,1,1,15
NaN,NaN,NaN,NaN,NaN,NaN,36,143.5,1,1,15
1.36115159537663,-1.53606497641967,3.2972960898393,0.00830207363870051,0.0052675346854531,0.0142446953045382,1,0,2,1,15
1.27485070979322,-1.53425915554199,3.38117102439607,0.00733150239693994,0.00501897700083118,0.0139006098062522,2,4.1,2,1,15
1.11068028303621,-1.52157295254449,3.4588165636379,0.00893011681458349,0.00615272140320563,0.0170708454409304,3,8.2,2,1,15
