Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,2,2.05,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,3,4.1,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,4,6.15,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,5,8.2,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,6,10.25,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,7,12.3,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,8,14.35,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,9,16.4,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,10,18.45,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,11,20.5,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,12,22.55,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,13,24.6,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,14,26.65,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,15,28.7,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,16,30.75,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,17,32.8,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,18,34.85,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,19,36.9,1,1,7
-1.51587152623279,-4.68270947357581,1.4496530466722,0.0254005804981496,0.0296107199107772,0.0655338567344638,20,38.95,1,1,7
-1.24595660423759,-4.55996127523671,1.2188746461689,0.0314610472149125,0.0352064581283541,0.0836619943985427,21,41,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,22,43.05,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,23,45.1,1,1,7
-1.22113686567224,-4.58043874174467,1.39049611844041,0.025450621043306,0.02810424581041,0.0673708626308412,24,47.15,1,1,7
-1.14301672478365,-4.67494185357043,1.30813133625417,0.0227683927701609,0.0266570577429362,0.057863396216188,25,49.2,1,1,7
NaN,NaN,NaN,NaN,NaN,NaN,26,51.25,1,1,7
-1.10749101713312,-4.62590190706243,1.33319502094977,0.0155709341516679,0.0184858447251357,0.0399747872213659,27,53.3,1,1,7
-0.916590905142629,-4.58886173614433,1.31918426574199,0.0150818978210838,0.0177935053562852,0.0387840627023446,28,55.35,1,1,7
-0.911085694469785,-4.49795660945411,1.39687556278527,0.0111715180014238,0.013214798815566,0.029022381439029,29,57.4,1,1,7
-0.901097407715681,-4.50194883023525,1.33272567257667,0.0105192890951598,0.0118684590404959,0.0283956499949857,30,59.45,1,1,7
-0.970067951180896,-4.59863039803641,1.40566679676186,0.00809621082724171,0.00896536882331884,0.021971879799183,31,61.5,1,1,7
-0.853646682844996,-4.62100065855461,1.52458474183285,0.00928879771139294,0.0106573627232601,0.0239089191367934,32,63.55,1,1,7
-0.849621890690819,-4.54757325748673,1.41658430975402,0.0061642658354982,0.00632100142247539,0.0175686944272618,33,65.6,1,1,7
-1.02283700766615,-4.59337403998471,1.42987565301627,0.00582098650984752,0.00587840049333993,0.0168643096789547,34,67.65,1,1,7
-0.772913786480033,-4.54078313421983,1.42854642504967,0.00767328226131337,0.00798946416164432,0.0216092323470841,35,69.7,1,1,7
-0.797311299187611,-4.48851667769595,1.44486890483493,0.00619299291890299,0.00671930214148334,0.0169631435546108,36,71.75,1,1,7
-0.710778623467501,-4.41022004708263,1.48529951306543,0.00543714545339662,0.0055006388316423,0.0157314633073459,37,73.8,1,1,7
-0.736072573485297,-4.38751058117554,1.55224851520316,0.00516130659516814,0.00514719765427177,0.0151990594724749,38,75.85,1,1,7
-0.882483821704438,-4.42529300797705,1.44396675637705,0.00517557120008072,0.00520388460442218,0.0151543447617065,39,77.9,1,1,7
-0.868774456825031,-4.45779820802922,1.38853349684699,0.00952463563961314,0.0113595491165264,0.0250244756100999,40,79.95,1,1,7
-1.08697487302216,-4.32349075506338,1.26080935628519,0.00671847797032439,0.00693900863422083,0.019380164080535,41,82,1,1,7
-1.0675531295816,-4.32671273971381,1.31126454674649,0.00586546078163356,0.00608990180154203,0.0167736853091836,42,84.05,1,1,7
-1.09823094185045,-4.29151251964285,1.26665829258255,0.0055964809213359,0.00576184880823592,0.0160566188210171,43,86.1,1,1,7
-1.09125857915394,-4.35774417833904,1.36744680551401,0.00614147100568141,0.00624488413996536,0.0179468573427297,44,88.15,1,1,7
-1.11754860114757,-4.38629856197974,1.3501136475813,0.00597109384826789,0.00599002579667018,0.0171262293710458,45,90.2,1,1,7
-1.13524315736427,-4.44046722541728,1.38371530712428,0.00646770057530974,0.00660363686313631,0.0181696357456937,46,92.25,1,1,7
-0.990043377179254,-4.49860430719748,1.45645067918711,0.00746389143009511,0.00784516340844193,0.0200179017790781,47,94.3,1,1,7
-1.02233185322795,-4.52858476332265,1.40942218591843,0.00726999864538747,0.00764781714726685,0.0186939488662181,48,96.35,1,1,7
-1.14039481013537,-4.50677064645568,1.42894807680511,0.0110278237794607,0.0130064883998813,0.027753486963568,49,98.4,1,1,7
-0.863658643860801,-4.58925549810966,1.5346428252261,0.007345009183252,0.00770994672892746,0.0190297357923848,50,100.45,1,1,7
-0.96743284238879,-4.54644060844174,1.62538629545738,0.00700744566227964,0.00700646855910366,0.0189912134897581,51,102.5,1,1,7
-1.09616502407317,-4.56434327101785,1.50504697606243,0.00658780535339369,0.00670812437479546,0.0181665800640224,52,104.55,1,1,7
-0.994364973484726,-4.62395879519859,1.48334780082944,0.00616354271586966,0.00667513738797369,0.0163023893506236,53,106.6,1,1,7
-1.046484837946,-4.5325003369142,1.44037744699722,0.00686869951681639,0.00704384679898601,0.0180513637150023,54,108.65,1,1,7
-1.10150141878071,-4.38332375567938,1.42709294698191,0.00611621979610202,0.0057868390897395,0.0167397433748883,55,110.7,1,1,7
-0.806266509504736,-4.46536061125192,1.49733239546846,0.0059181435501419,0.00571559070205932,0.0154190735619621,56,112.75,1,1,7
-0.782069240718743,-4.43645559231473,1.56592275071627,0.00663288812385629,0.0065634894242528,0.0177648667463845,57,114.8,1,1,7
-0.885103349321796,-4.43551248035246,1.51792451738674,0.00670201363236113,0.00683211874232143,0.017441475345073,58,116.85,1,1,7
-0.803136653725504,-4.52518059577794,1.69297871250797,0.00629918158248766,0.00572137044490822,0.01679916493239,59,118.9,1,1,7
-0.761395234230752,-4.43174353767673,1.75215135585038,0.00823072526200937,0.00745058366290224,0.0220092886783691,60,120.95,1,1,7
-0.581952139974398,-4.43380241399122,1.79304129079536,0.0071961213313424,0.00668640106418248,0.0198442348167276,61,123,1,1,7
-0.71110112881798,-4.38541834698327,1.8253408801297,0.0066877732196185,0.00624302832053815,0.0184518029840042,62,125.05,1,1,7
-0.761783689956564,-4.40493453293833,1.80350597058969,0.00691546235529991,0.00649183157109378,0.01919072266133,63,127.1,1,1,7
-0.644524322608984,-4.47027908982968,1.69881459165736,0.00671812545022207,0.00636300494761541,0.0187971302648418,64,129.15,1,1,7
-0.61019050667316,-4.46179257587229,1.64290938389046,0.00568654996653665,0.00539837327775701,0.0160067173739957,65,131.2,1,1,7
-0.707669610841991,-4.4711986228067,1.49866567951298,0.00641190078770675,0.00615006838422943,0.0183035525124403,66,133.25,1,1,7
-0.591484078480996,-4.54412579232202,1.6077586563601,0.0056964101977889,0.00556356456729641,0.0161343657200457,67,135.3,1,1,7
-0.586193099459981,-4.46378829832411,1.62298891836323,0.00649177069585137,0.00629095121691681,0.0186544931437172,68,137.35,1,1,7
-0.512056684692689,-4.48194377409894,1.48324900219997,0.00665311775669618,0.00651170145243716,0.0192975624098071,69,139.4,1,1,7
-0.605265323121667,-4.49307430967966,1.48642089290429,0.00574087095883678,0.00570189331977209,0.0167673443576627,70,141.45,1,1,7
-0.576636948135316,-4.38290794070675,1.53605278215962,0.00661580425069173,0.0065730289102612,0.0195057319042171,71,143.5,1,1,7
