Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,2,2.05,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,3,4.1,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,4,6.15,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,5,8.2,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,6,10.25,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,7,12.3,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,8,14.35,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,9,16.4,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,10,18.45,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,11,20.5,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,12,22.55,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,13,24.6,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,14,26.65,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,15,28.7,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,16,30.75,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,17,32.8,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,18,34.85,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,19,36.9,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,20,38.95,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,21,41,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,22,43.05,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,23,45.1,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,24,47.15,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,25,49.2,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,26,51.25,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,27,53.3,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,28,55.35,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,29,57.4,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,30,59.45,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,31,61.5,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,32,63.55,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,33,65.6,1,1,2
0.0697617169181485,-3.49643762981214,-1.92411559004018,0.00901038034178859,0.00841561717266135,0.024402889343862,34,67.65,1,1,2
0.0713239684897898,-3.48698275541051,-1.85185607848413,0.00997508593108354,0.00895229479905226,0.0256749807714093,35,69.7,1,1,2
0.033790573531122,-3.3416617409239,-1.86733083164576,0.00967380952341659,0.00828766963978747,0.0254178778837739,36,71.75,1,1,2
NaN,NaN,NaN,NaN,NaN,NaN,37,73.8,1,1,2
0.00592287291043995,-3.38854453355176,-1.98176159664097,0.00906910373641484,0.00790522353411977,0.0231631147320229,38,75.85,1,1,2
