Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,2,2.05,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,3,4.1,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,4,6.15,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,5,8.2,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,6,10.25,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,7,12.3,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,8,14.35,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,9,16.4,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,10,18.45,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,11,20.5,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,12,22.55,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,13,24.6,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,14,26.65,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,15,28.7,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,16,30.75,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,17,32.8,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,18,34.85,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,19,36.9,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,20,38.95,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,21,41,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,22,43.05,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,23,45.1,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,24,47.15,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,25,49.2,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,26,51.25,1,1,8
NaN,NaN,NaN,NaN,NaN,NaN,27,53.3,1,1,8
